Phrase,Frequency
people say,52
change way,52
spend money,52
million million,52
come soon,52
right hand,52
launch new,52
year age,52
month year,52
great place,52
water bottle,52
right time,52
like good,52
provide service,52
short story,52
come mind,52
time try,52
retrieve october,52
dream home,52
kabushiki kaisha,52
brian mccartin,52
live life,51
say time,51
sign free,51
say get,51
good work,51
work time,51
blu ray,51
know like,51
primary care,51
business owner,51
lot fun,51
male female,51
work day,51
foreign policy,51
people use,51
health service,51
cee green,51
crown advocate,51
oak medical,51
risk communication,51
detective brian,51
like new,50
new technology,50
say people,50
say add,50
know good,50
give away,50
play role,50
take advantage,50
past week,50
early morning,50
write book,50
team win,50
free charge,50
risk factor,50
early childhood,50
cost effective,49
late night,49
group people,49
community college,49
faculty member,49
hundred thousand,49
know say,49
text message,49
think need,49
year work,49
george bush,49
college university,49
work closely,49
learn new,49
old republic,49
war old,49
video converter,49
allow user,48
year end,48
early month,48
billion year,48
world series,48
research project,48
latin america,48
find look,48
good look,48
public library,48
spend day,48
ipod touch,48
want want,48
red cross,48
balance sheet,48
let look,48
couple day,48
user interface,48
shopping cart,48
new car,48
time week,48
life insurance,48
social work,48
weblogic server,48
receive email,47
high risk,47
take long,47
introduce new,47
open new,47
year new,47
web base,47
work people,47
wednesday night,47
run time,47
faculty staff,47
set forth,47
big deal,47
increase number,47
press conference,47
daily news,47
united kingdom,47
digital camera,47
stem cell,47
notre dame,47
heavy duty,47
loft bed,47
new thing,46
cross country,46
know need,46
west coast,46
step step,46
day work,46
think know,46
country world,46
toll free,46
age year,46
think get,46
preheat oven,46
thing work,46
need new,46
minute later,46
game win,46
return home,46
think great,46
share information,46
sure check,46
start look,46
later year,46
want try,46
rhode island,46
hurricane sandy,46
good price,46
swimming pool,46
oil filter,46
holiday season,45
chamber commerce,45
student disability,45
short time,45
make feel,45
come week,45
move forward,45
lot thing,45
national team,45
world wide,45
old son,45
come end,45
action take,45
company say,45
red sox,45
time like,45
free trial,45
mobile app,45
north american,45
time look,45
near future,45
end season,45
mile away,45
year long,45
intellectual property,45
premier league,45
time know,45
health professional,45
child family,45
alzheimer disease,45
low income,45
health aide,45
electrical energy,45
easy way,44
raise money,44
government agency,44
people look,44
high tech,44
work year,44
know lot,44
birth control,44
brother sister,44
try figure,44
like get,44
need work,44
take year,44
lemon juice,44
think think,44
hit home,44
state local,44
court appeal,44
news release,44
spring training,44
mailing list,44
salt pepper,44
southern california,44
public policy,44
career high,44
think important,44
search result,44
little girl,44
right direction,44
provide free,44
point game,44
get start,44
web application,44
salt lake,44
post february,44
post office,44
temperature value,44
polymer device,44
boy girl,43
federal state,43
early day,43
time want,43
support member,43
spend lot,43
political party,43
global warming,43
help prevent,43
game season,43
graduate student,43
fiscal year,43
source code,43
get lot,43
wal mart,43
management system,43
start season,43
information technology,43
cash flow,43
well way,43
work work,43
new album,43
system include,43
team member,43
stay home,43
think way,43
know time,43
service include,43
say say,43
special need,43
change time,43
early stage,43
take step,43
year award,43
research center,43
retrieve april,43
air conditioning,43
department health,43
help child,43
mental illness,43
girl scout,43
food safety,43
conduct council,43
act like,42
watch video,42
activity include,42
know exactly,42
work like,42
continue work,42
tuesday night,42
week month,42
box office,42
plead guilty,42
game game,42
month old,42
total number,42
know happen,42
university california,42
room temperature,42
need find,42
say good,42
time say,42
use word,42
available online,42
hiv aids,42
state law,42
absolutely love,42
high standard,42
thousand dollar,42
public interest,42
long island,42
internet access,42
provide good,42
north dakota,42
bachelor degree,42
work home,42
special offer,42
create account,42
harry potter,42
norman rockwell,42
publish broadcast,42
image datum,42
finally get,41
lot work,41
lose weight,41
come time,41
time need,41
new yorker,41
year time,41
minor league,41
let start,41
say new,41
small group,41
science technology,41
design help,41
treat like,41
time take,41
greenhouse gas,41
student loan,41
save life,41
past decade,41
want sure,41
time good,41
funeral home,41
release date,41
watch movie,41
way use,41
video clip,41
republican party,41
know get,41
need change,41
think time,41
player year,41
love one,41
say company,41
fossil fuel,41
program include,41
fast grow,41
digital signage,41
grill chicken,41
camera mouse,41
reserve material,41
broadcast rewrite,41
rewrite redistribute,41
sea org,41
thousand people,40
financial institution,40
council member,40
forward look,40
think people,40
general public,40
way want,40
time new,40
follow instruction,40
news story,40
advisory committee,40
brown sugar,40
big thing,40
like year,40
little time,40
yard touchdown,40
like like,40
mother day,40
week later,40
great time,40
want hear,40
read blog,40
football team,40
buy sell,40
look new,40
old school,40
team play,40
area include,40
get new,40
set new,40
build new,40
central bank,40
east coast,40
photo video,40
month later,40
left hand,40
thing want,40
chipper jones,40
ballistic missile,40
apple cider,40
sri lanka,40
leave camp,40
lavender oil,40
method method,40
oracle weblogic,40
tell people,39
look way,39
million euro,39
long period,39
say feel,39
say believe,39
decision making,39
address issue,39
rest world,39
good interest,39
left right,39
follow link,39
old fashioned,39
high resolution,39
day long,39
spend hour,39
year million,39
time people,39
bay area,39
accord report,39
high rate,39
system work,39
way think,39
fort worth,39
radio station,39
come say,39
high profile,39
hand tool,39
username password,39
place order,39
long distance,39
right way,39
good result,39
world class,39
child age,39
high blood,39
star game,39
open public,39
soon possible,39
sale tax,39
information system,39
plastic bag,39
health management,39
find information,39
federal law,39
able find,39
monday friday,39
field goal,39
social service,39
retrieve december,39
change mind,39
red carpet,39
hot water,39
fruit vegetable,39
security council,39
essential oil,39
fatty acid,39
leave home,39
mind mind,39
gas phase,39
mole fraction,39
people people,38
hedge fund,38
ten thousand,38
good day,38
know thing,38
cyber monday,38
master degree,38
health system,38
fire department,38
late version,38
locker room,38
people talk,38
point rebound,38
hard find,38
road trip,38
good start,38
want work,38
buy new,38
way people,38
begin work,38
people love,38
state government,38
read story,38
world championship,38
web browser,38
west virginia,38
help reduce,38
getty image,38
know love,38
natural world,38
make great,38
personal care,38
office educational,38
claim say,38
duck creek,38
brown gas,38
educational accessibility,38
psp video,38
portion polymer,38
day night,37
honey bee,37
support service,37
time great,37
know work,37
sweet potato,37
come true,37
personal life,37
income tax,37
medical care,37
like want,37
user browse,37
letter editor,37
think thing,37
student faculty,37
lesson learn,37
second year,37
get great,37
thing come,37
young adult,37
sex marriage,37
get know,37
love hear,37
thank god,37
stay tune,37
take minute,37
rest life,37
link site,37
play good,37
great idea,37
increase percent,37
turn away,37
peer review,37
say try,37
news report,37
iphone ipad,37
fiscal cliff,37
nursing home,37
provide opportunity,37
support group,37
member sign,37
gain access,37
sous vide,37
syrian americans,37
site include,37
food drug,37
fun house,37
guild war,37
contour font,37
canon solution,37
solution america,37
period year,36
follow year,36
time write,36
thing people,36
give opportunity,36
important role,36
people try,36
want help,36
bad guy,36
public relation,36
get ready,36
farmer market,36
thing look,36
feel comfortable,36
subject change,36
usa today,36
guy like,36
san antonio,36
comment post,36
market value,36
business model,36
need good,36
right click,36
county sheriff,36
good quality,36
know mean,36
feature include,36
work great,36
new line,36
south america,36
department education,36
human resource,36
power plant,36
human service,36
help improve,36
free software,36
save time,36
try new,36
day come,36
use service,36
good team,36
art science,36
great thing,36
world heritage,36
offer good,36
subject matter,36
high point,36
easy access,36
program help,36
help student,36
harbor freight,36
coupon code,35
year start,35
fall apart,35
know come,35
way help,35
difficult time,35
start year,35
adult child,35
year day,35
hour ago,35
civil society,35
tax rate,35
know feel,35
tax cut,35
people get,35
get little,35
day time,35
personal datum,35
american society,35
chocolate chip,35
bake minute,35
send mail,35
think want,35
hillary clinton,35
want change,35
lose job,35
small scale,35
feel bad,35
high temperature,35
african americans,35
thing change,35
start game,35
thursday night,35
iphone ipod,35
want share,35
pop culture,35
bad news,35
want people,35
well time,35
day know,35
financial service,35
lot money,35
state college,35
state federal,35
time period,35
vice versa,35
find perfect,35
national association,35
south dakota,35
auto insurance,35
taste like,35
work life,35
new generation,35
retrieve november,35
sunday morning,35
city hall,35
work group,35
man man,35
anti aging,35
user content,35
voting election,35
work good,34
provide high,34
announce today,34
feel need,34
good game,34
end cap,34
live work,34
half year,34
meeting hold,34
armed force,34
service available,34
get close,34
say come,34
way look,34
have trouble,34
thing get,34
personal experience,34
know use,34
round pick,34
big league,34
new people,34
give birth,34
fast food,34
feel great,34
monday morning,34
able use,34
long range,34
probably good,34
good year,34
forget password,34
like look,34
high low,34
change world,34
nearly million,34
enter email,34
new world,34
allow use,34
join date,34
try different,34
risk management,34
face face,34
political science,34
right wrong,34
quick easy,34
tel aviv,34
high price,34
conflict resolution,34
food stamp,34
finish second,34
improve quality,34
day say,34
device include,34
debit card,34
bank account,34
copyright material,34
high frequency,34
virginia beach,34
acoo browser,34
mechanical energy,34
muscle strand,34
new idea,33
pretty sure,33
provide access,33
stock exchange,33
world bank,33
time tell,33
capitol hill,33
amino acid,33
create job,33
saturday sunday,33
make difference,33
help create,33
want learn,33
say lot,33
year period,33
medicare medicaid,33
get bad,33
lead team,33
meet new,33
minimum wage,33
golf course,33
look well,33
game start,33
law firm,33
work find,33
attorney office,33
half time,33
right place,33
need understand,33
hotel room,33
twitter account,33
free open,33
profit organization,33
come think,33
price pay,33
project work,33
book read,33
league team,33
medical condition,33
point time,33
look statement,33
property owner,33
learn disability,33
run game,33
will not,33
decade ago,33
communist party,33
ask help,33
low rate,33
high energy,33
big screen,33
user experience,33
kill people,33
speed internet,33
close friend,33
working group,33
drug administration,33
lake city,33
public land,33
information need,33
sexual orientation,33
commodity price,33
prostate cancer,33
air france,33
order viagra,33
protection agency,32
get big,32
develop new,32
federal reserve,32
family history,32
everyday life,32
early season,32
want check,32
lisbon treaty,32
take away,32
people learn,32
right hander,32
telephone number,32
look find,32
energy efficiency,32
take account,32
want look,32
day new,32
tell good,32
time start,32
house representative,32
time see,32
woman man,32
place like,32
copyright right,32
spring summer,32
new testament,32
stuff like,32
gay marriage,32
homeland security,32
people world,32
land use,32
like time,32
conflict interest,32
patient care,32
rock roll,32
sarah palin,32
college football,32
game year,32
run away,32
daily basis,32
home sale,32
currently available,32
new business,32
work know,32
commit suicide,32
gluten free,32
smell like,32
hold hand,32
flip flop,32
god bless,32
comic book,32
business leader,32
datum provide,32
sea salt,32
leave right,32
mixed blood,32
time read,32
northern ireland,32
retrieve july,32
service offer,32
use information,32
tax credit,32
control system,32
george washington,32
need use,32
gangnam style,32
twitter facebook,32
pregnant woman,32
foot water,32
need time,32
information processing,32
apparatus image,32
risk message,32
want read,31
ahead time,31
thing well,31
housing market,31
good morning,31
say day,31
time minute,31
criminal justice,31
long stand,31
time high,31
rule regulation,31
say work,31
work class,31
home game,31
lose game,31
gold medal,31
money spend,31
executive vice,31
control method,31
read review,31
year think,31
win win,31
black hole,31
say city,31
solution problem,31
time season,31
student learn,31
end life,31
starting point,31
share experience,31
good night,31
physical activity,31
new law,31
find need,31
new job,31
city new,31
public radio,31
jewish community,31
time right,31
hope find,31
bring new,31
come new,31
say take,31
young girl,31
get marry,31
way life,31
census bureau,31
think look,31
metropolitan area,31
thousand year,31
come month,31
god love,31
local community,31
fox news,31
write letter,31
million quarter,31
play important,31
play year,31
election integrity,31
gas price,31
door open,31
financial crisis,31
national league,31
hallow eve,31
health human,31
help understand,31
order ship,31
mississippi state,31
school program,31
zip code,31
warm water,31
abu dhabi,31
chemical weapon,31
network marketing,31
information include,31
past life,31
event log,31
agent canon,31
canon kabushiki,31
apparatus include,31
resting rate,31
aide training,31
nineteenth century,30
come like,30
software development,30
short period,30
people believe,30
place start,30
work fine,30
blog entry,30
different kind,30
people find,30
like try,30
soviet union,30
energy resource,30
ask people,30
draft pick,30
gift certificate,30
rural area,30
day life,30
healthcare provider,30
project include,30
write post,30
old friend,30
black pepper,30
sql server,30
good player,30
originally publish,30
second round,30
take second,30
visit website,30
big picture,30
daily life,30
approximately million,30
like thank,30
know god,30
currently work,30
find work,30
birthday party,30
square mile,30
late news,30
baptist church,30
democratic party,30
long day,30
start think,30
live long,30
raise fund,30
july august,30
program offer,30
champion league,30
share story,30
chicago tribune,30
food price,30
lead way,30
grow number,30
take month,30
good people,30
help build,30
app store,30
want start,30
story tell,30
john paul,30
train station,30
heart attack,30
status quo,30
academy award,30
use site,30
life time,30
like facebook,30
person mixed,30
role model,30
press isbn,30
way like,30
natural disaster,30
little know,30
help bring,30
cause problem,30
announce new,30
patent application,30
blood cell,30
sexual assault,30
hgtv dream,30
stationary phase,30
season ticket,30
mit person,30
sanur indonesia,30
catlin gabel,30
idi pubme,30
heart rate,29
find interesting,29
want create,29
graduate school,29
page page,29
game time,29
tell friend,29
like thing,29
couple month,29
young age,29
role play,29
cross border,29
family life,29
parent child,29
american people,29
come way,29
friday march,29
tell doctor,29
justice department,29
natural history,29
contact detail,29
van der,29
people start,29
think well,29
social networking,29
tell time,29
book review,29
regular basis,29
study find,29
early century,29
time money,29
easy find,29
take lead,29
run hit,29
new member,29
international student,29
public safety,29
good fit,29
want buy,29
question comment,29
net income,29
state state,29
quality service,29
error message,29
web service,29
think big,29
say tuesday,29
cancer research,29
find time,29
roman catholic,29
day leave,29
warm weather,29
like people,29
get right,29
pre order,29
woman child,29
recently release,29
release new,29
new life,29
work family,29
look pretty,29
think lot,29
want live,29
experience work,29
player team,29
good health,29
year half,29
hope help,29
despite fact,29
free speech,29
kind like,29
great opportunity,29
know well,29
get way,29
package include,29
rocky mountain,29
available free,29
general election,29
life death,29
say plan,29
detailed information,29
boarding pass,29
access information,29
like read,29
food drink,29
shake head,29
eco friendly,29
season end,29
insurance policy,29
california court,29
option available,29
time order,29
north east,29
own operate,29
couple time,29
royal court,29
colorado spring,29
open fire,29
health problem,29
navigation system,29
day saint,29
thing see,29
low risk,29
provide student,29
price range,29
broad range,29
group work,29
give good,29
year event,29
monetary policy,29
pituitary adenomas,29
care product,29
salvation army,29
draw man,29
don francisco,29
good come,28
saturday october,28
supply chain,28
people understand,28
say give,28
life people,28
natural selection,28
year good,28
modern day,28
make decision,28
service member,28
want talk,28
need pay,28
come know,28
pretty cool,28
know talk,28
million americans,28
feature film,28
look look,28
seven day,28
know man,28
far well,28
need learn,28
number year,28
program work,28
try hard,28
user access,28
community base,28
photo take,28
need need,28
present day,28
thirty year,28
american idol,28
chapel hill,28
time ago,28
hard believe,28
raw material,28
committee member,28
different thing,28
offer wide,28
come visit,28
place time,28
get chance,28
agricultural research,28
great day,28
age group,28
day think,28
school college,28
old age,28
post october,28
year life,28
fall asleep,28
gun control,28
time month,28
come right,28
search box,28
people ask,28
say yes,28
great value,28
commercial real,28
blow away,28
double check,28
lung cancer,28
user friendly,28
financial statement,28
world lead,28
education program,28
player play,28
table content,28
oregon state,28
send letter,28
reduce risk,28
training camp,28
green tea,28
health information,28
people age,28
program year,28
testosterone level,28
include information,28
health issue,28
average point,28
industry standard,28
year high,28
want thank,28
convention center,28
nuclear weapon,28
house price,28
not know,28
presidential election,28
size fit,28
score goal,28
drive car,28
post june,28
weather service,28
application form,28
washington state,28
want leave,28
american indian,28
great service,28
civil servant,28
large selection,28
food bill,28
timber sale,28
control unit,28
hydraulic fracture,28
roll transducer,28
varicose vein,28
management agent,28
sem terra,28
join force,27
nervous system,27
take look,27
time make,27
raise million,27
player player,27
million share,27
will able,27
high heat,27
change year,27
want let,27
raise question,27
rule law,27
work new,27
health safety,27
year deal,27
news service,27
nurse practitioner,27
kind thing,27
internet service,27
social science,27
shop online,27
hand hand,27
want add,27
find people,27
serial number,27
columbia university,27
month month,27
age old,27
big city,27
technical support,27
add little,27
good point,27
batting average,27
give chance,27
win team,27
well job,27
mean lot,27
like big,27
point guard,27
draw attention,27
ask want,27
day get,27
right want,27
different color,27
half century,27
trial court,27
public good,27
hard rock,27
special edition,27
good old,27
good man,27
frequently ask,27
event year,27
need look,27
fast pace,27
school community,27
cause cancer,27
bad case,27
people die,27
year contract,27
add extra,27
good use,27
government official,27
cold war,27
friday saturday,27
issue face,27
know long,27
time talk,27
driver license,27
head start,27
come play,27
open space,27
guy come,27
fresh air,27
saturday morning,27
copyright law,27
follow information,27
say find,27
think right,27
like great,27
close look,27
offer great,27
world know,27
hour later,27
data collection,27
recent study,27
well understand,27
mean time,27
download free,27
collection include,27
associate press,27
publish book,27
start get,27
man live,27
medical treatment,27
state mind,27
head head,27
way way,27
good example,27
new game,27
associate professor,27
like work,27
design new,27
assistant professor,27
ncaa tournament,27
wait long,27
sport car,27
music festival,27
little boy,27
exchange rate,27
body mind,27
care professional,27
land grant,27
free contact,27
design provide,27
kim jong,27
volume issue,27
test result,27
miller energy,27
depression screen,27
exercise rate,27
mechanical linkage,27
jeff jonas,27
erectile dysfunction,27
jim lehrer,27
national institute,26
decline comment,26
system design,26
god give,26
way thing,26
end end,26
come look,26
thing right,26
tell want,26
help develop,26
decision make,26
people tell,26
way work,26
play time,26
quickly possible,26
time visit,26
free throw,26
drinking water,26
soon later,26
spending cut,26
say expect,26
take day,26
bake soda,26
mind body,26
sale price,26
job creation,26
online shopping,26
sound good,26
say love,26
great britain,26
east west,26
fairy tale,26
time leave,26
way home,26
point point,26
quality product,26
baking sheet,26
free online,26
twentieth century,26
tampa bay,26
completely different,26
team lead,26
feel guilty,26
like happen,26
editor chief,26
say long,26
get work,26
birth death,26
decide want,26
use time,26
phone fax,26
half dozen,26
red wine,26
harvard university,26
car seat,26
staff writer,26
president ceo,26
continue grow,26
high cost,26
provide support,26
food bank,26
want come,26
way find,26
total million,26
bit like,26
like come,26
find well,26
little guy,26
limited edition,26
get people,26
know help,26
option include,26
search term,26
look little,26
think little,26
old daughter,26
today announce,26
past day,26
game like,26
say early,26
geological survey,26
year great,26
wide receiver,26
international community,26
team work,26
open eye,26
past present,26
thank visit,26
red white,26
machine gun,26
mile hour,26
information contain,26
good choice,26
control panel,26
study publish,26
background check,26
metal detector,26
buy ticket,26
orange county,26
north texas,26
free trade,26
year know,26
baby girl,26
life work,26
say ask,26
johns hopkins,26
turn right,26
manchester united,26
retail price,26
available download,26
nuclear power,26
hardware software,26
billion billion,26
article member,26
write review,26
tie game,26
student athlete,26
christmas tree,26
add comment,26
window server,26
list price,26
second large,26
orate pro,26
know day,26
new level,26
double click,26
professional development,26
museum art,26
convenience store,26
say see,26
usb port,26
free press,26
right right,26
start make,26
big datum,26
visit site,26
good think,26
child adult,26
site provide,26
attention detail,26
weather channel,26
neodymium magnet,26
mind buddha,26
real cialis,26
cialis prescription,26
date time,25
time change,25
group inc,25
president say,25
motion picture,25
audio video,25
fix rate,25
large bowl,25
work think,25
time feel,25
away home,25
global economy,25
want stay,25
